PERIOD,YEAR,STATS_VALUE
Annual,1947,13.4
Annual,1948,13.7
Annual,1949,13.4
Annual,1950,13.8
Annual,1952,13.4
Annual,1954,14
Annual,1957,13.6
Annual,1958,14
Annual,1959,13.4
Annual,1960,13.5
Annual,1961,13.6
Annual,1962,14.4
Annual,1963,13.4
Annual,1964,13.3
Annual,1965,13
Annual,1966,13.3
Annual,1967,13.4
Annual,1968,13.4
Annual,1969,13.3
Annual,1970,14.3
Annual,1971,14.5
Annual,1972,13.5
Annual,1973,14.3
Annual,1974,14.6
Annual,1975,14
Annual,1976,13.3
Annual,1977,13.3
Annual,1978,14.3
Annual,1979,14.2
Annual,1981,14.5
Annual,1982,13.2
