year,mean_temperature_c,temperature_std_dev,station_id,station_name,load_timestamp,extreme_grass_min_c,earth_temperature_10cm_c,ground_frost_days
1985,11.8,4.0,4960,NIWA Station 4960,2025-08-01 09:46:31.028066,,,
1987,11.7,3.6,4960,NIWA Station 4960,2025-08-01 09:46:31.028066,,,
1995,11.1,4.2,4960,NIWA Station 4960,2025-08-01 09:46:31.028066,,,
1997,11.1,3.6,4960,NIWA Station 4960,2025-08-01 09:46:31.028066,,,
1998,12.5,4.5,4960,NIWA Station 4960,2025-08-01 09:46:31.028066,,,
2000,11.4,3.7,4960,NIWA Station 4960,2025-08-01 09:46:31.028066,,,
2002,11.3,3.7,4960,NIWA Station 4960,2025-08-01 09:46:31.028066,,,
2003,11.2,3.7,4960,NIWA Station 4960,2025-08-01 09:46:31.028066,,,
2004,11.1,4.0,4960,NIWA Station 4960,2025-08-01 09:46:31.028066,,,
2005,11.8,3.9,4960,NIWA Station 4960,2025-08-01 09:46:31.028066,,,
2006,11.2,3.7,4960,NIWA Station 4960,2025-08-01 09:46:31.028066,,,
2007,11.3,3.9,4960,NIWA Station 4960,2025-08-01 09:46:31.028066,,,
2008,11.6,4.2,4960,NIWA Station 4960,2025-08-01 09:46:31.028066,,,
2009,11.0,4.3,4960,NIWA Station 4960,2025-08-01 09:46:31.028066,,,
2011,11.4,3.8,4960,NIWA Station 4960,2025-08-01 09:46:31.028066,,,
2012,11.2,3.7,4960,NIWA Station 4960,2025-08-01 09:46:31.028066,,,
2015,11.2,4.3,4960,NIWA Station 4960,2025-08-01 09:46:31.028066,,,
2016,12.0,4.1,4960,NIWA Station 4960,2025-08-01 09:46:31.028066,,,
2017,11.6,3.9,4960,NIWA Station 4960,2025-08-01 09:46:31.028066,,,
2018,11.7,4.0,4960,NIWA Station 4960,2025-08-01 09:46:31.028066,,,
2020,12.0,4.0,4960,NIWA Station 4960,2025-08-01 09:46:31.028066,,,
2021,11.9,3.8,4960,NIWA Station 4960,2025-08-01 09:46:31.028066,,,
2022,11.9,3.6,4960,NIWA Station 4960,2025-08-01 09:46:31.028066,,,
